Št.	Beseda 1	Beseda 2	Ali sta besedi protipomenki? [MŠ1]	Ali sta besedi protipomenki? [MJ]	Ali sta besedi protipomenki? [MŠ2]	Ali sta besedi sopomenki? [MS]	Ali sta besedi protipomenki? [TM]	Ali sta besedi protipomenki? [TVK]	SKUPAJ	ENOTNOST	Glavni problem	Morebitni dodatni problem	
111	boriti	prepustiti	d	g	g	d	g	g	dggdgg		nedov	povrat	
112	braniti	atakirati	d	g	g	g	d	d	dgggdd		prevzeto	povrat	
113	braniti	naskočiti	g	g	g	d	g	d	gggdgd		nedov	povrat	
114	brat	sestrica	n	n	g	n	g	d	nngngd		spol	zaz	
115	brat	sestra	d	n	d	d	g	d	dnddgd		spol		
116	brezdlak	dlakav	d	d	d	d	d	d	dddddd	je protipomenka			
117	brezdlak	kocinast	g	d	d	d	g	d	gdddgd		kontekst	zaz	
118	brezdlak	kosmat	d	d	d	d	d	d	dddddd	je protipomenka			
119	brezhibnost	nedovršenost	d	d	d	d	d	d	dddddd	je protipomenka			
120	brezhibnost	nepopolnost	d	d	d	d	d	d	dddddd	je protipomenka			
121	brezhibnost	pomanjkljivost	d	d	n	d	g	d	ddndgd		kontekst		
122	brezkoristen	potreben	d	d	d	d	g	d	ddddgd		kontekst		
123	brezkoristen	donosen	d	g	d	g	d	d	dgdgdd		/		
124	brezkoristen	koristen	d	d	d	d	d	d	dddddd	je protipomenka			
125	brezkoristen	plodonosen	d	n	g	n	g	d	dngngd		zaz	kontekst	
126	brezkoristen	pridobiten	d	n	d	d	g	d	dnddgd		zaz	kontekst	
127	brezkoristen	rentabilen	g	n	g	g	g	d	gngggd		zaz	kontekst	
128	brezkoristen	uporaben	d	d	d	d	d	d	dddddd	je protipomenka			
129	brezkoristen	uporabljiv	n	g	d	d	g	d	ngddgd		kontekst		
130	brezkoristnost	uporabnost	d	d	d	d	d	d	dddddd	je protipomenka			
131	brezmočen	močen	d	d	n	d	d	d	ddnddd		ne	kontekst	
132	brezploden	fertilen	g	d	d	d	d	d	gddddd		prevzeto	kontekst	
133	brezploden	plodonosen	g	d	d	d	d	d	gddddd		ne	kontekst	
134	brezploden	rodoviten	d	d	d	g	d	d	dddgdd		kontekst		
135	brezplodnost	produktivnost	g	n	d	d	d	d	gndddd		kontekst	prevzeto	
136	brezpogojen	odvisen	g	d	d	g	g	d	gddggd		kontekst		
137	brezpogojen	pogojen	d	d	d	d	d	d	dddddd	je protipomenka			
138	brezpomembnost	važnost	d	d	d	g	d	d	dddgdd		zaz		
139	brezposelnost	zaposlitev	n	n	n	g	g	d	nnnggd		stanje in dogodek		
140	breztaktnost	taktnost	d	d	d	g	d	d	dddgdd		zaz		
141	breztelesen	fizičen	d	d	g	d	d	d	ddgddd		večpom		
142	breztelesen	materialen	d	d	n	d	d	d	ddnddd		kontekst		
143	breztelesen	snoven	d	d	d	d	d	d	dddddd	je protipomenka			
144	breztelesen	telesen	d	d	n	d	d	d	ddnddd		večpom		
145	breztelesen	tvaren	d	d	d	d	d	d	dddddd	je protipomenka			
146	brezzvezden	zvezden	d	d	g	d	d	d	ddgddd		ne		
147	budnost	dremavica	d	d	d	d	d	d	dddddd	je protipomenka			
148	budnost	dremota	d	d	g	g	d	d	ddggdd		stop		
149	budnost	zaspanost	n	d	g	d	g	d	ndgdgd		večpom	stop	
150	cel	frakcijski	d	g	d	g	g	d	dgdggd		prevzeto	kontekst	
151	cel	nepopoln	d	d	n	d	g	d	ddndgd		ne	kontekst	
152	cel	pomanjkljiv	d	d	n	d	d	d	ddnddd		kontekst		
153	cel	popoln	n	n	n	n	n	n	nnnnnn	ni protipomenka			
154	cel	oškodovan	g	n	n	n	n	d	gnnnnd		večpom	kontekst	
155	cel	ranjen	d	n	d	g	d	d	dndgdd		večpom		
156	cel	razžaljen	n	n	n	n	n	n	nnnnnn	ni protipomenka			
157	celinski	interkontinentalen	d	n	n	g	g	d	dnnggd		prevzeto	kontekst	
158	celinski	medcelinski	d	n	n	g	d	d	dnngdd		kontekst		
159	celinski	medkontinentalen	d	n	d	g	d	d	dndgdd		prevzeto	kontekst	
160	cena	prednost	n	n	n	n	n	g	nnnnng		/		
161	cenen	neprecenljiv	g	d	d	n	g	d	gddngd		ne	kontekst	
162	cenen	dragocen	d	d	d	d	d	d	dddddd	je protipomenka			
163	centralizacija	decentralizacija	d	d	d	d	d	d	dddddd	je protipomenka			
164	centralizirati	decentralizirati	d	d	d	d	d	d	dddddd	je protipomenka			
165	česa	nečesa	g	n	n	d	n	n	gnndnn		lema	ne	
166	često	izjemoma	d	d	d	d	g	d	ddddgd		zaz		
167	često	malokdaj	d	d	d	d	g	d	ddddgd		zaz		
168	često	poredko	d	d	d	d	g	d	ddddgd		zaz		
169	čist	blaten	d	d	d	d	g	d	ddddgd		kontekst	večpom	
170	čist	nečeden	d	n	n	d	g	d	dnndgd		ne	kontekst	
171	čist	nečist	d	d	n	d	d	d	ddnddd		ne		
172	čist	obscen	d	n	n	g	n	d	dnngnd		kontekst		
173	čist	umazan	d	d	d	d	d	d	dddddd	je protipomenka			
174	čist	zamazan	d	d	d	d	d	d	dddddd	je protipomenka			
175	čistost	nečednost	d	n	n	d	g	d	dnndgd		ne	kontekst	
176	čistost	nečistot	n	d	n	g	g	n	ndnggn		zatipk		
177	čistost	nečistota	n	d	g	n	d	d	ndgndd		ne		
178	čitljiv	neberljiv	d	d	d	d	d	d	dddddd	je protipomenka			
179	čitljiv	nečitljiv	d	d	d	d	d	d	dddddd	je protipomenka			
180	čitljivost	nečitljivost	d	d	d	d	d	d	dddddd	je protipomenka			
181	civilen	barbarski	d	d	n	d	g	d	ddndgd		večpom	kontekst	
182	civilen	neciviliziran	d	d	n	n	d	d	ddnndd		ne	kontekst	
183	civilen	neljubezniv	n	n	n	n	g	d	nnnngd		ne	kontekst	
184	civilist	vojak	d	d	d	d	d	d	dddddd	je protipomenka			
185	civilist	mož	n	n	n	n	n	n	nnnnnn	ni protipomenka			
186	človekoljubje	krutost	d	n	d	n	g	d	dndngd		kontekst		
187	človeško	nečloveško	d	d	d	d	d	d	dddddd	je protipomenka			
188	črn	bel	d	d	d	d	d	d	dddddd	je protipomenka			
189	črnina	belina	d	d	d	d	d	d	dddddd	je protipomenka			
190	da	ne	d	d	d	d	d	d	dddddd	je protipomenka			
191	dajati	trpeti	n	d	n	g	n	d	ndngnd		gš	kontekst	
192	daleč	nedaleč	d	d	d	d	d	d	dddddd	je protipomenka			
193	dan	noč	d	d	d	d	d	d	dddddd	je protipomenka			
194	davno	nedavno	d	d	d	d	d	d	dddddd	je protipomenka			
195	debel	suh	d	d	d	d	d	d	dddddd	je protipomenka			
196	debel	tanek	d	d	d	d	d	d	dddddd	je protipomenka			
197	debeliti	tanjšati	d	d	d	d	d	d	dddddd	je protipomenka			
198	debelost	mršavost	d	d	d	d	g	d	ddddgd		zaz		
199	deček	punca	n	n	d	n	g	d	nndngd		spol	zaz	
200	deček	punčka	g	n	g	d	g	d	gngdgd		spol	zaz	
201	decentralizirati	osredotočiti	n	n	n	n	g	d	nnnngd		prevzeto	kontekst	
202	degeneracija	evolucija	n	g	n	d	g	d	ngndgd		kontekst		
203	degeneracija	razvijanje	d	g	n	g	g	d	dgnggd		prevzeto	kvazi	
204	degeneracija	razvoj	d	g	n	d	g	d	dgndgd		prevzeto	dejanje in stanje	
205	dejanski	morebiten	d	d	d	d	g	d	ddddgd		stop		
206	dejanski	potencialen	d	d	d	d	g	d	ddddgd		stop	kontekst	
207	dejanski	možen	d	d	n	d	g	d	ddndgd		stop		
208	dejavnost	mirovanje	d	d	d	d	d	d	dddddd	je protipomenka			
209	dekle	deček	d	n	d	n	g	d	dndngd		spol		
210	dekle	fant	d	n	d	d	g	d	dnddgd		spol		
211	dekle	fantek	n	n	n	n	g	d	nnnngd		spol	zaz	
212	dekle	fantič	n	n	d	n	g	d	nndngd		spol	zaz	
213	deklica	deček	d	n	d	d	g	d	dnddgd		spol		
214	deklica	fant	n	n	d	n	g	d	nndngd		spol		
215	deklica	fantek	d	n	d	d	g	d	dnddgd		spol	zaz	
216	deklica	fantič	n	n	d	d	g	d	nnddgd		spol	zaz	
217	dekontaminacija	onesnaženje	d	d	d	d	g	d	ddddgd		kontekst	prevzeto	
218	dekontaminacija	onesnaževanje	d	d	d	g	g	d	dddggd		kontekst		
219	dekorum	nedostojnost	g	g	n	g	g	d	ggnggd		ne	zaz	
220	dekorum	nespodobnost	g	g	g	g	g	d	gggggd		ne	zaz	
221	delaboracija	sestavljanje	g	g	g	g	g	g	gggggg		kontekst		
222	delaboracija	shod	g	g	g	g	g	g	gggggg		NI		
223	delaboracija	zbiranje	g	g	g	g	g	g	gggggg		NI		
224	delaboracija	zbor	g	g	g	g	g	g	gggggg		NI		
225	delati	lenariti	d	d	d	d	d	d	dddddd	je protipomenka			
226	delati	poleniti	n	n	n	g	g	g	nnnggg		povrat	gš	
227	delavec	delodajalec	d	d	d	d	d	d	dddddd	je protipomenka			
228	delavec	zaposlovalec	d	d	d	g	g	d	dddggd		kontekst		
229	delaven	lenoben	d	d	g	d	d	d	ddgddd		/		
230	delaven	len	d	d	d	d	d	d	dddddd	je protipomenka			
231	delavnik	fraj	g	n	g	n	d	d	gngndd		bv	zaz	
232	delavnik	prosto	n	n	d	g	d	d	nndgdd		bv		
233	deljiv	neločljiv	d	n	d	g	d	d	dndgdd		ne	kontekst	
234	delno	izključno	d	g	n	d	g	n	dgndgn		stop		
235	delno	popolnoma	d	d	d	d	d	d	dddddd	je protipomenka			
236	delno	povsem	d	d	d	d	d	d	dddddd	je protipomenka			
237	delno	scela	d	d	d	d	g	d	ddddgd		stop		
238	delno	totalno	d	d	d	d	g	d	ddddgd		stop		
239	delno	vse	d	n	g	d	g	d	dngdgd		stop		
240	delno	čisto	g	g	d	g	d	g	ggdgdg		stop		
241	delo	nedelo	d	g	d	d	d	d	dgdddd		ne		
242	delodajalec	delojemalec	d	d	d	d	d	d	dddddd	je protipomenka			
243	delodajalec	uslužbenec	d	d	d	g	d	d	dddgdd		kontekst		
244	delodajalec	zaposleni	d	d	d	g	d	d	dddgdd		bv	kontekst	
245	deloma	popolnoma	d	d	d	d	d	d	dddddd	je protipomenka			
246	deloma	povsem	d	d	d	d	d	d	dddddd	je protipomenka			
247	deloma	totalno	d	d	d	d	d	d	dddddd	je protipomenka			
248	deloma	vse	d	n	n	d	d	g	dnnddg		stop		
249	deloma	čisto	d	g	d	g	g	g	dgdggg		večpom	stop	
250	delovanje	nedelovanje	d	d	n	d	d	d	ddnddd		ne		
251	delovnik	fraj	g	n	d	n	d	d	gndndd		bv	zaz	
252	demobilizacija	novačenje	d	g	g	g	g	d	dggggd		prevzeto	kontekst	
253	demobilizacija	vpoklic	d	d	d	g	d	d	dddgdd		prevzeto	kontekst	
254	denacificirati	nacificirati	d	d	d	d	d	d	dddddd	je protipomenka			
255	denacionalizacija	podržavljenje	d	d	d	d	d	d	dddddd	je protipomenka			
256	desna	leva	d	d	d	d	d	d	dddddd	je protipomenka			
257	desnica	levica	d	d	d	d	d	d	dddddd	je protipomenka			
258	detronizirati	intronizirati	d	g	g	d	g	d	dggdgd		kontekst		
259	devalvirati	ceniti	d	n	n	g	g	d	dnnggd		prevzeto	kontekst	
260	devotnost	brezboštvo	g	g	d	g	g	d	ggdggd		prevzeto	kontekst	
261	dezinficirati	okužiti	d	d	d	d	g	d	ddddgd		prevzeto		
262	dezoksidirati	oksidirati	d	d	d	d	d	d	dddddd	je protipomenka			
263	dezorientirati	usmeriti	d	d	n	d	d	d	ddnddd		kontekst	prevzeto	
264	direkten	posreden	d	d	d	d	d	d	dddddd	je protipomenka			
265	disciplina	nedisciplina	d	d	d	d	d	d	dddddd	je protipomenka			
266	disciplina	nediscipliniranost	n	n	g	g	d	d	nnggdd		kontekst		
267	dišeč	smrdljiv	g	d	d	d	g	d	gdddgd		kontekst		
268	diskontinuiteta	kontinuiteta	d	d	d	d	d	d	dddddd	je protipomenka			
269	diskontinuiteta	neprekinjenost	d	d	d	d	d	d	dddddd	je protipomenka			
270	diskontinuiteta	nepretrganost	d	d	d	d	d	d	dddddd	je protipomenka			
271	disonančen	harmoničen	d	d	d	d	g	d	ddddgd		prevzeto	kontekst	
272	disproporcionalen	relativen	d	n	n	n	g	d	dnnngd		večpom	kontekst	
273	disproporcionalen	sorazmeren	d	d	d	g	d	d	dddgdd		ne	kontekst	
274	distribucija	koncentracija	d	d	n	g	n	d	ddngnd		kontekst		
275	distributiven	skupen	g	n	g	g	g	d	gngggd		večpom		
276	divji	udomačen	d	d	d	d	d	d	dddddd	je protipomenka			
277	dlakav	brezlas	n	g	g	g	d	d	ngggdd		kontekst		
278	dlakav	plešast	n	g	n	g	d	d	ngngdd		kontekst		
279	dneven	nočen	d	d	d	d	d	d	dddddd	je protipomenka			
280	dno	vrh	d	d	d	d	d	d	dddddd	je protipomenka			
281	dober	slab	d	d	d	d	d	d	dddddd	je protipomenka			
282	dober	neprimeren	g	g	g	g	g	d	gggggd		ne	kontekst	
283	dobiček	izguba	d	d	d	d	d	d	dddddd	je protipomenka			
284	dobiček	minus	d	d	d	g	d	d	dddgdd		večpom	kontekst	
285	dobičkonosen	brezkoristen	d	n	d	g	d	d	dndgdd		ne	zaz	
286	dobičkonosen	jalov	d	n	n	g	g	d	dnnggd		zaz	kontekst	
287	dobičkonosen	nekoristen	d	n	d	g	d	d	dndgdd		ne	kontekst	
288	dobičkonosen	nerentabilen	g	d	n	g	g	d	gdnggd		prevzeto	ne	
289	dobiti	izgubiti	d	d	d	d	d	d	dddddd	je protipomenka			
290	dobiti	dokončati	n	n	n	n	n	n	nnnnnn	ni protipomenka			
291	dobiti	končati	n	n	n	n	n	n	nnnnnn	ni protipomenka			
292	dobiti	skončati	n	n	n	n	n	n	nnnnnn	ni protipomenka			
293	dobiti	odpovedati	g	n	n	n	n	g	gnnnng		povrat	kontekst	
294	dobiti	odreči	g	n	n	d	n	g	gnndng		povrat	kontekst	
295	dobrikav	nelaskav	d	d	g	d	d	d	ddgddd		ne		
296	dobro	slabo	d	d	d	d	d	d	dddddd	je protipomenka			
297	dobrohoten	nemilosrčen	d	g	g	g	g	d	dggggd		ne	kontekst	
298	dobrohoten	neusmiljen	n	d	g	d	g	d	ndgdgd		ne	kontekst	
299	dobrota	neljubeznivost	d	g	n	g	g	d	dgnggd		ne	kontekst	
300	dobrota	neprijaznost	d	g	n	g	g	d	dgnggd		ne	kontekst	
301	dobrota	nepriljudnost	d	g	n	g	g	d	dgnggd		ne	kontekst	
302	dobrota	zlobnost	d	d	d	g	d	d	dddgdd		zaz	kontekst	
303	dobrota	hudobija	d	d	d	d	d	d	dddddd	je protipomenka			
304	dobrota	hudobnost	d	d	d	g	d	d	dddgdd		/		
305	dobrota	zlo	d	g	g	g	d	d	dgggdd		kontekst		
306	dobrota	zloba	d	d	d	d	d	d	dddddd	je protipomenka			
307	dogovor	nesoglasje	d	d	n	d	g	d	ddndgd		ne	kontekst	
308	dogovor	spor	d	d	n	d	g	d	ddndgd		kontekst		
309	dohodek	odhodek	d	d	d	d	d	d	dddddd	je protipomenka			
310	dohodek	izdatek	d	d	d	d	d	d	dddddd	je protipomenka			
311	dohodek	strošek	d	d	d	d	d	d	dddddd	je protipomenka			
312	dojemanje	nerazumevanje	d	d	d	d	g	d	ddddgd		ne	kontekst	
313	dokajšen	neznaten	d	d	d	g	g	d	dddggd		kontekst		
314	dokončana	nedokončana	d	d	d	d	d	d	dddddd	je protipomenka			
315	dokončati	lotevati	n	n	d	g	d	g	nndgdg		nedov	povrat	
316	dokončati	lotiti	d	d	d	d	d	g	dddddg		povrat		
317	dokončati	nastati	d	n	n	n	g	g	dnnngg		kontekst		
318	dokončati	pričeti	d	d	d	d	d	d	dddddd	je protipomenka			
319	dokončati	startati	g	d	d	d	d	d	gddddd		kontekst		
320	dol	gor	d	d	d	d	d	d	dddddd	je protipomenka			
321	dol	navzgor	n	d	d	g	d	d	nddgdd		kontekst		
322	dolg	kratek	d	d	d	d	d	d	dddddd	je protipomenka			
323	dolgo	nedolgo	d	d	d	d	d	d	dddddd	je protipomenka			
324	dolgovezen	koncizen	n	d	d	g	g	d	nddggd		večpom	zaz	
325	dolgovezen	lapidaren	g	d	g	g	g	d	gdgggd		kontekst	zaz	
326	dolgoveznost	konciznost	n	d	d	g	g	d	nddggd		zaz	prevzeto	
327	dolgoveznost	lakonizem	g	d	d	g	g	d	gddggd		zaz	prevzeto	
328	doli	zgoraj	d	d	d	g	d	d	dddgdd		kontekst		
329	doli	gori	d	d	d	d	d	d	dddddd	je protipomenka			
330	dolina	vzpetina	d	d	d	d	d	d	dddddd	je protipomenka			
331	določen	nedoločen	d	d	d	d	d	d	dddddd	je protipomenka			
332	določeno	nedoločeno	d	d	d	d	d	d	dddddd	je protipomenka			
333	dolžna	nedolžna	n	g	n	g	d	g	ngngdg		lema	tvorjeno	
334	dolžnica	kreditor	n	n	g	g	g	g	nngggg		spol		
335	dolžnica	upnik	n	n	g	g	g	g	nngggg		spol		
336	dolžnost	nedolžnost	d	g	n	g	d	d	dgngdd		ne	zaz	
337	domač	nepoznan	d	d	d	d	g	d	ddddgd		ne	kontekst	
338	donosnost	brezplodnost	d	n	g	n	g	d	dngngd		ne	kontekst	
339	donosnost	nekoristnost	n	n	d	g	g	d	nndggd		ne	kontekst	
340	donosnost	neplodnost	d	n	g	n	g	d	dngngd		ne	kontekst	
341	donosnost	neproduktivnost	d	n	d	n	g	d	dndngd		ne	kontekst	
342	donosnost	nedonosnost	d	d	d	d	d	d	dddddd	je protipomenka			
343	donosnost	nerentabilnost	d	d	d	g	g	d	dddggd		ne	prevzeto	
344	donosnost	neprofitnost	d	d	n	d	g	d	ddndgd		ne	prevzeto	
345	dopoldne	popoldanski	n	n	n	g	g	n	nnnggn		bv		
346	dopusten	nedopusten	d	d	d	d	d	d	dddddd	je protipomenka			
347	dopusten	nedopustljiv	n	n	g	g	d	d	nnggdd		ne		
348	dopusten	nesprejemljiv	n	d	d	d	d	d	nddddd		ne	kontekst	
349	dopustiti	preprečiti	d	d	d	d	d	d	dddddd	je protipomenka			
350	dopustno	nedopustno	d	d	d	d	d	d	dddddd	je protipomenka			
351	dopustnost	nedopustnost	d	d	d	d	d	d	dddddd	je protipomenka			
352	dopustnost	nesprejemljivost	d	d	d	d	d	d	dddddd	je protipomenka			
353	dosegljiv	nedosegljiv	d	d	d	d	d	d	dddddd	je protipomenka			
354	dosegljivo	nedosegljivo	d	d	d	d	d	d	dddddd	je protipomenka			
355	doslednost	nedoslednost	d	d	d	d	d	d	dddddd	je protipomenka			
356	dostikrat	izjemoma	d	d	d	d	d	d	dddddd	je protipomenka			
357	dostikrat	malokdaj	d	d	d	d	d	d	dddddd	je protipomenka			
358	dostikrat	poredko	d	d	d	d	d	d	dddddd	je protipomenka			
359	dostikrat	redko	d	d	d	d		d	ddddd	je protipomenka			
360	dostikrat	redkoma	d	d	d	d	d	d	dddddd	je protipomenka			
361	dostojno	nedostojno	d	d	d	d	d	d	dddddd	je protipomenka			
362	dostopen	nedostopen	d	d	d	d	d	d	dddddd	je protipomenka			
363	dostopen	neuporaben	g	n	n	d	g	g	gnndgg		ne	kontekst	
